Open time,open_price,close_price,volume,Close time
2022-01-18,42201.63000000,42352.12000000,29324.08257000,2022-01-18 23:59:59.999
2022-01-19,42352.12000000,41660.01000000,31685.72159000,2022-01-19 23:59:59.999
2022-01-20,41660.00000000,40680.91000000,42330.33953000,2022-01-20 23:59:59.999
2022-01-21,40680.92000000,36445.31000000,88860.89199900,2022-01-21 23:59:59.999
2022-01-22,36445.31000000,35071.42000000,90471.33896100,2022-01-22 23:59:59.999
2022-01-23,35071.42000000,36244.55000000,44279.52354000,2022-01-23 23:59:59.999
2022-01-24,36244.55000000,36660.35000000,91904.75321100,2022-01-24 23:59:59.999
2022-01-25,36660.35000000,36958.32000000,49232.40183000,2022-01-25 23:59:59.999
2022-01-26,36958.32000000,36809.34000000,69830.16036000,2022-01-26 23:59:59.999
2022-01-27,36807.24000000,37160.10000000,53020.87934000,2022-01-27 23:59:59.999
2022-01-28,37160.11000000,37716.56000000,42154.26956000,2022-01-28 23:59:59.999
2022-01-29,37716.57000000,38166.84000000,26129.49682000,2022-01-29 23:59:59.999
2022-01-30,38166.83000000,37881.76000000,21430.66527000,2022-01-30 23:59:59.999
2022-01-31,37881.75000000,38466.90000000,36855.24580000,2022-01-31 23:59:59.999
2022-02-01,38466.90000000,38694.59000000,34574.44663000,2022-02-01 23:59:59.999
2022-02-02,38694.59000000,36896.36000000,35794.68130000,2022-02-02 23:59:59.999
2022-02-03,36896.37000000,37311.61000000,32081.10999000,2022-02-03 23:59:59.999
2022-02-04,37311.98000000,41574.25000000,64703.95874000,2022-02-04 23:59:59.999
2022-02-05,41571.70000000,41382.59000000,32532.34372000,2022-02-05 23:59:59.999
2022-02-06,41382.60000000,42380.87000000,22405.16704000,2022-02-06 23:59:59.999
2022-02-07,42380.87000000,43839.99000000,51060.62006000,2022-02-07 23:59:59.999
2022-02-08,43839.99000000,44042.99000000,64880.29387000,2022-02-08 23:59:59.999
2022-02-09,44043.00000000,44372.72000000,34428.16729000,2022-02-09 23:59:59.999
2022-02-10,44372.71000000,43495.44000000,62357.29091000,2022-02-10 23:59:59.999
2022-02-11,43495.44000000,42373.73000000,44975.16870000,2022-02-11 23:59:59.999
2022-02-12,42373.73000000,42217.87000000,26556.85681000,2022-02-12 23:59:59.999
2022-02-13,42217.87000000,42053.66000000,17732.08113000,2022-02-13 23:59:59.999
2022-02-14,42053.65000000,42535.94000000,34010.13060000,2022-02-14 23:59:59.999
2022-02-15,42535.94000000,44544.86000000,38095.19576000,2022-02-15 23:59:59.999
2022-02-16,44544.85000000,43873.56000000,28471.87270000,2022-02-16 23:59:59.999
2022-02-17,43873.56000000,40515.70000000,47245.99494000,2022-02-17 23:59:59.999
2022-02-18,40515.71000000,39974.44000000,43845.92241000,2022-02-18 23:59:59.999
2022-02-19,39974.45000000,40079.17000000,18042.05510000,2022-02-19 23:59:59.999
2022-02-20,40079.17000000,38386.89000000,33439.29011000,2022-02-20 23:59:59.999
2022-02-21,38386.89000000,37008.16000000,62347.68496000,2022-02-21 23:59:59.999
2022-02-22,37008.16000000,38230.33000000,53785.94589000,2022-02-22 23:59:59.999
2022-02-23,38230.33000000,37250.01000000,43560.73200000,2022-02-23 23:59:59.999
2022-02-24,37250.02000000,38327.21000000,120476.29458000,2022-02-24 23:59:59.999
2022-02-25,38328.68000000,39219.17000000,56574.57125000,2022-02-25 23:59:59.999
2022-02-26,39219.16000000,39116.72000000,29361.25680000,2022-02-26 23:59:59.999
2022-02-27,39116.73000000,37699.07000000,46229.44719000,2022-02-27 23:59:59.999
2022-02-28,37699.08000000,43160.00000000,73945.63858000,2022-02-28 23:59:59.999
2022-03-01,43160.00000000,44421.20000000,61743.09873000,2022-03-01 23:59:59.999
2022-03-02,44421.20000000,43892.98000000,57782.65081000,2022-03-02 23:59:59.999
2022-03-03,43892.99000000,42454.00000000,50940.61021000,2022-03-03 23:59:59.999
2022-03-04,42454.00000000,39148.66000000,61964.68498000,2022-03-04 23:59:59.999
2022-03-05,39148.65000000,39397.96000000,30363.13341000,2022-03-05 23:59:59.999
2022-03-06,39397.97000000,38420.81000000,39677.26158000,2022-03-06 23:59:59.999
2022-03-07,38420.80000000,37988.00000000,63994.11559000,2022-03-07 23:59:59.999
2022-03-08,37988.01000000,38730.63000000,55583.06638000,2022-03-08 23:59:59.999
2022-03-09,38730.63000000,41941.71000000,67392.58799000,2022-03-09 23:59:59.999
2022-03-10,41941.70000000,39422.00000000,71962.93154000,2022-03-10 23:59:59.999
2022-03-11,39422.01000000,38729.57000000,59018.76420000,2022-03-11 23:59:59.999
2022-03-12,38729.57000000,38807.36000000,24034.36432000,2022-03-12 23:59:59.999
2022-03-13,38807.35000000,37777.34000000,32791.82359000,2022-03-13 23:59:59.999
2022-03-14,37777.35000000,39671.37000000,46945.45375000,2022-03-14 23:59:59.999
2022-03-15,39671.37000000,39280.33000000,46015.54926000,2022-03-15 23:59:59.999
2022-03-16,39280.33000000,41114.00000000,88120.76167000,2022-03-16 23:59:59.999
2022-03-17,41114.01000000,40917.90000000,37189.38087000,2022-03-17 23:59:59.999
2022-03-18,40917.89000000,41757.51000000,45408.00969000,2022-03-18 23:59:59.999
2022-03-19,41757.51000000,42201.13000000,29067.18108000,2022-03-19 23:59:59.999
2022-03-20,42201.13000000,41262.11000000,30653.33468000,2022-03-20 23:59:59.999
2022-03-21,41262.11000000,41002.25000000,39426.24877000,2022-03-21 23:59:59.999
